expnum,object,"""ra""","""dec""",inttime,mjdate,filter,runid
1421589,ll10+1+1,28.797369940531468,15.373222816546045,320.13273599999997,55859.4211256,r.MP9601,11BC22
1421590,ll10+0+1,27.783368363790863,15.373224134692832,320.12582399999997,55859.4253862,r.MP9601,11BC22
1421591,ll10-1+1,26.769369192941017,15.373222308800976,320.138784,55859.4302692,r.MP9601,11BC22
1421592,ll10-2+1,25.755327488404063,15.373224057874964,320.143968,55859.4346293,r.MP9601,11BC22
1421593,ll10-2+1,25.755329373611097,15.373223156254411,320.128416,55859.4402017,r.MP9601,11BC22
1421594,ll10-2+1,25.755328357952042,15.373254753231777,320.13273599999997,55859.4453768,r.MP9601,11BC22
1421595,ll10-2+1,25.755327423546625,15.373202387308071,320.11891199999997,55859.4504897,r.MP9601,11BC22
1421596,ll10-2+1,25.75533028919666,15.373252815983562,320.118048,55859.4559624,r.MP9601,11BC22
1421603,ll10+2+1,29.811419444602873,15.373222545475556,320.067072,55859.4713018,r.MP9601,11BC22
1421604,ll10+1+1,28.79736659135799,15.373222663603357,320.114592,55859.4755639,r.MP9601,11BC22
1421605,ll10+1+1,28.797368147122075,15.373204446657612,320.110272,55859.4808886,r.MP9601,11BC22
1421606,ll10+0+1,27.7833687487216,15.373254209681631,320.12323200000003,55859.4852574,r.MP9601,11BC22
1421781,ll10+2+1,29.81141917783474,15.37322377215041,320.08608,55860.2678753,r.MP9601,11BC22
1421782,ll10+1+1,28.7973674982514,15.37325296396641,320.067936,55860.2721345,r.MP9601,11BC22
1421783,ll10+0+1,27.783368446614485,15.373222008851656,320.0904,55860.2763989,r.MP9601,11BC22
1421784,ll10-1+1,26.76937096059784,15.373223532611776,320.110272,55860.2807687,r.MP9601,11BC22
1421785,ll10-2+1,25.755329371987173,15.373223159499531,320.119776,55860.2851297,r.MP9601,11BC22
1421786,ll10-2+2,25.755327078213003,16.35322404077094,320.114592,55860.2893916,r.MP9601,11BC22
1421787,ll10-1+2,26.769367928486723,16.35322301690644,320.122368,55860.2936541,r.MP9601,11BC22
1421788,ll10+0+2,27.78336835540523,16.35322403542166,320.106816,55860.2979189,r.MP9601,11BC22
1421789,ll10-1+2,26.769370349848103,16.353222841548728,320.097312,55860.303316,r.MP9601,11BC22
1421790,ll10+0+2,27.783368274985484,16.353223458167392,320.11891199999997,55860.3076582,r.MP9601,11BC22
1421791,ll10+1+2,28.79736914832898,16.35325385791641,320.119776,55860.3119201,r.MP9601,11BC22
1421792,ll10+2+2,29.811420643737407,16.35322245520655,320.112,55860.3161833,r.MP9601,11BC22
1421793,ll10+2+1,29.811417526704627,15.373204404426334,320.112864,55860.3205608,r.MP9601,11BC22
1421794,ll10+1+1,28.797368754463754,15.373222607546253,320.112,55860.3248217,r.MP9601,11BC22
1421795,ll10+0+1,27.783368675325057,15.373223185505255,320.12496,55860.3290821,r.MP9601,11BC22
1421796,ll10-1+1,26.76936553696513,15.373222708709278,320.12064,55860.3333455,r.MP9601,11BC22
1421797,ll10-2+1,25.755328544700063,15.373223315134963,320.131008,55860.3377629,r.MP9601,11BC22
1421798,ll10-2+2,25.755328074045355,16.353253529699685,320.131872,55860.3420544,r.MP9601,11BC22
1421799,ll10-1+2,26.76936857549175,16.353203640941757,320.13273599999997,55860.3465556,r.MP9601,11BC22
1421800,ll10+0+2,27.78336968335622,16.353223429228933,320.126688,55860.350815,r.MP9601,11BC22
1421801,ll10+1+2,28.797367188938583,16.353223730252168,320.12496,55860.35508,r.MP9601,11BC22
1421802,ll10+2+2,29.81141735468275,16.35325412709787,320.12582399999997,55860.3593406,r.MP9601,11BC22
1421803,ll10+2+1,29.81141903016946,15.37322403308022,320.130144,55860.3637321,r.MP9601,11BC22
1421804,ll10+1+1,28.79736753915409,15.3732223096699,320.130144,55860.3679956,r.MP9601,11BC22
1421805,ll10+0+1,27.783368649796774,15.373223677054867,320.101632,55860.3722853,r.MP9601,11BC22
1421806,ll10-1+1,26.769330346887212,15.373222902322127,320.12323200000003,55860.3765445,r.MP9601,11BC22
1421807,ll10-2+1,25.75533065052595,15.373223035510067,320.12928,55860.3808079,r.MP9601,11BC22
1421808,ll10-2+2,25.755327885883993,16.353201880770513,320.111136,55860.3851532,r.MP9601,11BC22
1421809,ll10-1+2,26.76937161289689,16.353223254664115,320.130144,55860.3896616,r.MP9601,11BC22
1421810,ll10-2+1,25.7553281723664,15.373222973981699,320.12582399999997,55860.3969826,r.MP9601,11BC22
1421811,ll10-2+1,25.75536922901881,15.373223891654364,320.113728,55860.4036926,r.MP9601,11BC22
1421812,ll10+0+2,27.783366630039925,16.353223719492718,320.126688,55860.4083056,r.MP9601,11BC22
1421813,ll10+1+2,28.797367394886816,16.353224085246794,320.1336,55860.412642,r.MP9601,11BC22
1421814,ll10+2+2,29.81141558917832,16.35322315673288,320.130144,55860.416962,r.MP9601,11BC22
1421815,ll10+2-2,29.811416228618306,13.413224213457596,320.13273599999997,55860.4212902,r.MP9601,11BC22
1421816,ll10+1-2,28.797369140920104,13.413223239822356,320.124096,55860.4255548,r.MP9601,11BC22
1422072,ll10+2-2,29.81136659870638,13.413202992550993,320.130144,55862.2984184,r.MP9601,11BC22
1422073,ll10+1-2,28.797368222450775,13.413253721237508,320.076576,55862.3027586,r.MP9601,11BC22
1422074,ll10+0-2,27.78337009144738,13.413253336085177,320.10767999999996,55862.3070235,r.MP9601,11BC22
1422124,ll10+2-2,29.811416611172916,13.413223045182024,320.095584,55862.4782655,r.MP9601,11BC22
1422125,ll10+1-2,28.797368801241337,13.41322514563042,320.117184,55862.4825259,r.MP9601,11BC22
1422126,ll10+0-2,27.78336804608344,13.413221946795145,320.122368,55862.486788,r.MP9601,11BC22
1422127,ll10-1-2,26.769368061431862,13.413253270575126,320.131008,55862.4910503,r.MP9601,11BC22
1422159,ll10+2-2,29.81141836522193,13.413223106026292,320.156064,55863.2891003,r.MP9601,11BC22
1422160,ll10+2-2,29.811419306113063,13.413172644602426,320.13792,55863.3049485,r.MP9601,11BC22
1422161,ll10+1-2,28.79736948876167,13.41322319010969,320.128416,55863.3092926,r.MP9601,11BC22
1422162,ll10+0-2,27.783366487487726,13.41325450446571,320.128416,55863.3138232,r.MP9601,11BC22
1422165,ll10-1-2,26.769329861268677,13.413222513485378,320.131872,55863.3182084,r.MP9601,11BC22
1422166,ll10-2-2,25.7553265662356,13.41322408787754,320.12323200000003,55863.3225342,r.MP9601,11BC22
1422167,ll10-2-1,25.755328369867335,14.393203752400225,320.1336,55863.3269031,r.MP9601,11BC22
1422168,ll10-1-1,26.769364668369334,14.3932237385594,320.138784,55863.3312665,r.MP9601,11BC22
1422169,ll10+0-1,27.783369090844126,14.393222492374901,320.135328,55863.335529,r.MP9601,11BC22
1422362,ll10+2-2,29.811367241420424,13.413223573129512,320.11891199999997,55864.298225,r.MP9601,11BC22
1422363,ll10+1-2,28.79736747714956,13.413224454009054,320.144832,55864.3024842,r.MP9601,11BC22
1422571,ll10+2-2,29.81141810305352,13.413223986632843,320.12582399999997,55864.5225803,r.MP9601,11BC22
1422572,ll10+1-2,28.797367678291522,13.413225347266078,320.112,55864.526842,r.MP9601,11BC22
